"","X","id","created_at","conceptPast","spectrumLeft","spectrumRight","valuePast","chapter","user","valuePresent","conceptPresent","feedback"
"26",26,204,"2022-06-07 20:57:38.425063+00","the Roman Empire","moving","fixed",0.693333333,"ch2","d8640400-b5a8-40c1-a574-42a7c65cc5db",0.68,"Nazi Germany","I placed the Roman Empire here because it lasted longer and was able to achieve (and keep for a long time) what Nazi Germany failed to: totality and absolute cultural stasis."
"27",27,206,"2022-06-07 21:01:12.048572+00","Boudica","celebrated","condemned",0.078518519,"ch2","d8640400-b5a8-40c1-a574-42a7c65cc5db",0.806666667,"Margaret Thatcher","I placed Boudica here because she opposed the invasion and colonisation of her homeland."
"28",28,210,"2022-06-10 11:57:59.465822+00","Boudica","celebrated","condemned",0.243055556,"ch2","b906d3c7-1d45-486c-89d3-163001db5a17",0.640046296,"Theresa May","I placed Boudica here because ... he lead an uprising"
"29",29,214,"2022-06-11 12:16:16.186118+00","Julius Caesar","free","controlled",0.266153846,"ch2","e6fac804-18da-44bf-b3af-fb48f413f996",0.547179487,"Jean-Claude Juncker","I placed Julius Caesar here because ...his portrayal has been one of a ruler/dictator"
"30",30,230,"2022-06-21 08:19:11.387582+00","the Fall of the Roman Empire","regenerating","destructive",0.4003308,"ch2","dfc9ff13-e0ee-456e-beef-a837bda99fa6",0.464008283,"Scottish independence","I placed the Fall of the Roman Empire here because ...things ended but others were transformed "
"31",31,233,"2022-06-23 09:20:42.294758+00","Julius Caesar","free","controlled",0.836872587,"ch2","826e6181-929a-4de1-a9fe-799649052f39",0.510617761,"Jean-Claude Juncker","I placed Julius Caesar here because unlike Jean Claude Juncker he was an emperor and usurper.
"
"32",32,234,"2022-06-23 09:21:25.689971+00","Hadrian's Wall","connecting","dividing",0.50965251,"ch2","826e6181-929a-4de1-a9fe-799649052f39",0.914092664,"the Great Wall of China","I placed Hadrian's Wall here because ...there were a number of openings in the Wall allowing for trade and exchange."
"33",33,235,"2022-06-23 09:22:51.303965+00","Boudica","civilised","barbaric",0.264478764,"ch2","826e6181-929a-4de1-a9fe-799649052f39",0.213320463,"the Suffragettes","I placed Boudica here because whether she was civilised or barbaric is talking semantics - I bet she thought of herself as civilised and the Romans barbaric! "
"34",34,265,"2022-06-25 11:51:23.451742+00","Julius Caesar","peaceful","violent",0.864948877,"ch2","4c16f8ef-a104-438e-a02e-9b7a0f650730",0.11969112,"Napoleon","I placed Julius Caesar here because ...he was a conquerer "
"35",35,266,"2022-06-25 11:51:47.74704+00","Boudica","free","controlled",0.125482625,"ch2","4c16f8ef-a104-438e-a02e-9b7a0f650730",0.485521236,"the Suffragettes","I placed Boudica here because ...she liked a fight"
"36",36,268,"2022-06-25 13:28:12.094539+00","the Roman Empire","practical","symbolic",1,"ch2","c82dd6ae-40b5-45af-9fc0-7bad6429c451",0,"Nazi Germany","I placed the Roman Empire here because they believed in gods"
"37",37,270,"2022-06-25 13:29:28.91064+00","Julius Caesar","secure","insecure",0.024131274,"ch2","c82dd6ae-40b5-45af-9fc0-7bad6429c451",0.987451737,"Vladimir Putin","I placed Julius Caesar here because he was a good emperor"
"38",38,277,"2022-06-27 09:40:45.316851+00","the Roman Empire","moving","fixed",0.644787645,"ch2","67d57f9d-92a2-4575-8ddf-432fb39b4993",0.317567568,"the USSR","I placed the Roman Empire here because ...boundaries moved"
"39",39,278,"2022-06-27 09:41:48.297832+00","Boudica","heroic","deluded",0.323359073,"ch2","67d57f9d-92a2-4575-8ddf-432fb39b4993",0.327220077,"Margaret Thatcher","I placed Boudica here because ...like thatcher steadfast even though did not always get it right. A. Strong leader"
"40",40,279,"2022-06-27 09:42:29.144464+00","Hadrian's Wall","refined","crude",0.237451737,"ch2","67d57f9d-92a2-4575-8ddf-432fb39b4993",0.212355212,"the US-Mexican border","I placed Hadrian's Wall here because ...difficult to police borders"
"41",41,280,"2022-06-27 11:52:50.459911+00","Hadrian's Wall","native","foreign",0.817567568,"ch2","a3b1d688-6eb8-47a7-bd44-b3ef003c85f3",0.114398942,"the Anglo-Scottish border","I placed Hadrian's Wall here because the romans were foreign influence trying to take over Britain."
"42",42,281,"2022-06-27 11:55:23.404585+00","the Roman Empire","regenerating","destructive",0.555984556,"ch2","a3b1d688-6eb8-47a7-bd44-b3ef003c85f3",0.974879084,"the USSR","I placed the Roman Empire here because they were a revolutionary influence on Britain and the territories that they romanised but they did it forcefully and made people conform to this idea and then took it away from them after 400 years plunging Britain into the Dark Ages."
"43",43,282,"2022-06-27 11:56:57.780731+00","Boudica","refined","crude",0.211389961,"ch2","a3b1d688-6eb8-47a7-bd44-b3ef003c85f3",0.783591475,"Margaret Thatcher","I placed Boudica here because she fought fiercely for the British and did everything in her power to deter the Romans but Thatcher ruined many lives in Britain."
"44",44,304,"2022-06-30 10:08:21.204405+00","the Roman Empire","regenerating","destructive",0.883204633,"ch2","d9142ddb-0b9c-4e5f-acec-b30125c7332d",0.087797923,"the USSR","I placed the Roman Empire here because ... because they destroyed "
"45",45,320,"2022-06-30 13:35:11.103018+00","Julius Caesar","secure","insecure",0.704633205,"ch2","2753bc60-66df-4e10-9044-023e0a2eb64a",0.689619734,"Napoleon","I placed Julius Caesar here because ... attacked"
"46",46,343,"2022-07-01 11:02:28.175181+00","the Roman Empire","regenerating","destructive",0.653474903,"ch2","6950e376-7ff5-4964-9cfa-86c6a1636659",0.482709494,"the USSR","I placed the Roman Empire here because ... it was very destructive
"
"47",47,344,"2022-07-01 11:03:03.300134+00","Hadrian's Wall","practical","symbolic",0,"ch2","6950e376-7ff5-4964-9cfa-86c6a1636659",0.725868726,"the US-Mexican border","I placed Hadrian's Wall here because ...it kept people out
"
"48",48,345,"2022-07-01 11:03:37.233818+00","Julius Caesar","moving","fixed",0.359073359,"ch2","6950e376-7ff5-4964-9cfa-86c6a1636659",1,"Vladimir Putin","I placed Julius Caesar here because ...he was taking over the world"
"49",49,349,"2022-07-01 11:55:07.668813+00","the Roman Empire","moving","fixed",0.24473637,"ch2","e89f2364-4325-4451-a835-8784cd3919f7",0.386873133,"the USSR","I placed the Roman Empire here because ...I think there was more mobility in ancient Rome than the USSR - the USSR feels like a more closed society to me"
"50",50,352,"2022-07-01 12:22:43.708463+00","Julius Caesar","free","controlled",0.621621622,"ch2","f282decd-d628-4e90-87cb-fc9a2d52b449",0.609073359,"Vladimir Putin","I placed Julius Caesar here because ...he belonged to a relatively free society but also believed in subduing other nations for the glory of Rome"
"51",51,354,"2022-07-01 12:26:26.922764+00","Hadrian's Wall","inclusive","exclusive",0.562741313,"ch2","f282decd-d628-4e90-87cb-fc9a2d52b449",0.713320463,"the Berlin Wall","I placed Hadrian's Wall here because ...it was put up to as a form of protect and not just to seperate people
"
"52",52,356,"2022-07-01 13:17:04.023001+00","Julius Caesar","refined","crude",0.312741313,"ch2","2344d4c5-ca8c-44cc-8d70-218df37bd4c2",0.977799228,"Donald Trump","I placed Julius Caesar here because history has shown his significance"
"53",53,357,"2022-07-01 13:17:45.788792+00","Boudica","dominant","submissive",0.133204633,"ch2","2344d4c5-ca8c-44cc-8d70-218df37bd4c2",0.125482625,"Elizabeth I","I placed Boudica here because she was a leader."
"54",54,358,"2022-07-01 13:18:31.579314+00","the Roman Empire","celebrated","condemned",0.252895753,"ch2","2344d4c5-ca8c-44cc-8d70-218df37bd4c2",0.481660232,"the British Empire","I placed the Roman Empire here because it’s longevity shaped our world"
"55",55,359,"2022-07-01 13:43:36.794092+00","Boudica","benevolent","malevolent",0.80019305,"ch2","105febfa-87e5-4217-8b37-b8bb31616dc3",1,"Margaret Thatcher","I placed Boudica here because she is like MT ..."
"56",56,360,"2022-07-01 13:44:36.858793+00","Hadrian's Wall","free","controlled",0.676640927,"ch2","105febfa-87e5-4217-8b37-b8bb31616dc3",0.787644788,"the Berlin Wall","I placed Hadrian's Wall here because ... one was to keep people in, the other to keep people out."
"57",57,361,"2022-07-01 13:45:03.243433+00","the Roman Empire","inclusive","exclusive",0.188223938,"ch2","105febfa-87e5-4217-8b37-b8bb31616dc3",0.937258687,"Nazi Germany","I placed the Roman Empire here because ... they included people"
"58",58,1331,"2022-07-26 13:19:45.972659+00","the Roman Empire","refined","crude",0.474903475,"ch2","4981342c-17d4-446c-9b7f-8f9abcfc6536",0.318532819,"the European Union","I placed the Roman Empire here because ...highly ‘civilised’ with technological advancements in this period, closer to a modern society "
"59",59,1340,"2022-07-26 14:04:31.216064+00","the Roman Empire","connecting","dividing",0.040986404,"ch2","47bd9c3b-431f-43f9-84ee-33db20b09c85",1,"the USSR","I placed the Roman Empire here because of the amazing hadrians wall
"
"60",60,1348,"2022-07-26 14:27:53.80868+00","Julius Caesar","native","foreign",1,"ch2","f9cde7f2-4074-4aae-b443-8700e0fb8d7f",0.933397683,"Vladimir Putin","I placed Julius Caesar here because ...he’s dead???
"
"61",61,1351,"2022-07-26 15:42:33.972436+00","the Roman Empire","civilised","barbaric",1,"ch2","1145e277-4a02-4b64-bebc-ab5cc267a137",0.253861004,"the European Union","I placed the Roman Empire here because ... killings."
"62",62,1354,"2022-07-26 15:46:25.95143+00","the Fall of the Roman Empire","progressive","regressive",0.409266409,"ch2","90f6c1e8-af52-416b-afd1-5bd92a020c16",0.342664093,"the End of the British Empire","I placed the Fall of the Roman Empire here because ... they were tyrannical. In a sense"
"63",63,441,"2022-07-03 11:02:50.482528+00","Hadrian's Wall","connecting","dividing",0.826254826,"ch2","353a2ca7-98dd-475d-b73e-3505f0164c08",0.958494208,"the Berlin Wall","I placed Hadrian's Wall here because ...it divided Roman Britain from Scotland."
"64",64,442,"2022-07-03 11:03:45.913941+00","Julius Caesar","long-lasting","short-term",0.099420849,"ch2","353a2ca7-98dd-475d-b73e-3505f0164c08",0.935328185,"Jean-Claude Juncker","I placed Julius Caesar here because ...his reputation has lasted 2000 years."
"65",65,443,"2022-07-03 11:05:32.248357+00","the Fall of the Roman Empire","inclusive","exclusive",0.942084942,"ch2","353a2ca7-98dd-475d-b73e-3505f0164c08",0.988392598,"Brexit","I placed the Fall of the Roman Empire here because ...it divided countries and populations who had existed together trading peacefully for centuries."
"66",66,446,"2022-07-03 11:56:55.220997+00","Hadrian's Wall","peaceful","violent",0.55019305,"ch2","7ab71c0d-89b0-433b-af1b-798fd4f682a6",0.597490347,"the Great Wall of China","I placed Hadrian's Wall here because ... there was a lot of forts and fights with the Scottish "
"67",67,448,"2022-07-03 12:17:42.21149+00","Hadrian's Wall","secure","insecure",0.211389961,"ch2","1426f30b-aa97-4f5c-9422-52525060f02e",0.126447876,"the Great Wall of China","It’s less preserved than the Great Wall. People also have less reverence, respect and knowledge of it."
"68",68,449,"2022-07-03 12:19:14.666671+00","the Fall of the Roman Empire","multicultural","non multicultural",0,"ch2","1426f30b-aa97-4f5c-9422-52525060f02e",0.489357849,"Brexit","Towards the end of the Roman Empire there were far more cultures, and identities involved."
"69",69,450,"2022-07-03 12:21:11.548671+00","Boudica","progressive","regressive",0.796332046,"ch2","1426f30b-aa97-4f5c-9422-52525060f02e",0.171785097,"Theresa May","The intent of her rebellion is interpreted as overthrowing the shackles of Roman identity. Interestingly it was perfectly normal in Celtic society for women to lead armies and rule."
"70",70,462,"2022-07-03 12:44:34.299525+00","the Fall of the Roman Empire","skillful","incompetent",0.441119691,"ch2","22387331-fa39-45e5-b98e-efda3baef72d",1.022284784,"Brexit","I placed the Fall of the Roman Empire here because ... all empires fail "
"71",71,463,"2022-07-03 12:47:21.164591+00","the Fall of the Roman Empire","heroic","deluded",0.985276858,"ch2","5292052c-2c2e-45bc-aa1b-cbeb879ab344",1,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...all empires eventually fail because local population will always want independence "
"72",72,475,"2022-07-03 14:00:58.737655+00","the Fall of the Roman Empire","reassuring","worrying",0.016409266,"ch2","da74204d-44bf-4022-9a83-98f0350897aa",0.492277992,"Scottish independence","I placed the Fall of the Roman Empire here because ... I don’t want Roman empires "
"73",73,476,"2022-07-03 14:01:29.985505+00","Julius Caesar","practical","symbolic",0,"ch2","da74204d-44bf-4022-9a83-98f0350897aa",0.495173745,"Jean-Claude Juncker","I placed Julius Caesar here because he is a dick ..."
"74",74,482,"2022-07-03 14:27:33.645647+00","Julius Caesar","native","foreign",0.484305069,"","",0,"Napoleon","I placed Julius Caesar here because he is far in the past"
"75",75,483,"2022-07-03 14:28:26.865673+00","Hadrian's Wall","regenerating","destructive",0.1003861,"","",0.093122328,"the Berlin Wall","I placed Hadrian's Wall here because it was a world with clear borde"
"76",76,485,"2022-07-04 09:13:27.581669+00","Hadrian's Wall","native","foreign",0,"ch2","62302ba4-20e6-442e-ae72-162929fa1427",1,"the US-Mexican border","I placed Hadrian's Wall here because ...Roman northern frontier "
"77",77,486,"2022-07-04 09:14:24.135917+00","the Fall of the Roman Empire","secure","insecure",0,"ch2","62302ba4-20e6-442e-ae72-162929fa1427",0,"Scottish independence","I placed the Fall of the Roman Empire here because ...they returned to rome"
"78",78,487,"2022-07-04 09:24:25.674767+00","the Fall of the Roman Empire","skillful","incompetent",0.947876448,"ch2","020f8214-5f85-49db-9b50-84de6447a09c",0.117185585,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...they all died"
"79",79,490,"2022-07-04 10:29:00.121384+00","Julius Caesar","dominant","submissive",0,"ch2","ee90d43e-491e-4a15-a0d2-1f83438bcf2a",0.014478764,"Vladimir Putin","I placed Julius Caesar here because I have read about him in a book and he likes to boss people about
"
"80",80,492,"2022-07-04 10:31:37.276334+00","Hadrian's Wall","progressive","regressive",0.025180537,"ch2","ee90d43e-491e-4a15-a0d2-1f83438bcf2a",0.991312741,"the Anglo-Scottish border","I placed Hadrian's Wall here because when the people were building it a lot of work, effort, time and skills "
"81",81,525,"2022-07-04 15:01:38.051517+00","the Fall of the Roman Empire","celebrated","condemned",0,"ch2","914fc249-a67d-4090-9fa0-af0ec6db8337",0.993532399,"Brexit","I placed the Fall of the Roman Empire here because ... I'm a Medieval Historian!"
"82",82,526,"2022-07-04 15:02:34.604407+00","the Roman Empire","benevolent","malevolent",1,"ch2","914fc249-a67d-4090-9fa0-af0ec6db8337",0.56832504,"the USSR","I placed the Roman Empire here because ... As previous..."
"83",83,527,"2022-07-04 15:06:37.499238+00","Boudica","benevolent","malevolent",0.522554009,"ch2","914fc249-a67d-4090-9fa0-af0ec6db8337",0.737479442,"Theresa May","I placed Boudica here because ... From what I remember, she was pretty brutal with enemies;  though C-PTSD-inducing experiences had something to do with this?!"
"84",84,529,"2022-07-04 17:37:56.086982+00","the Roman Empire","heroic","deluded",0,"ch2","847a4ab5-c31e-44fa-96e4-2502cb61e72c",0,"the British Empire","I placed the Roman Empire here because ...it was one of the world's great empires, just like the British Empire. Rule Britannia or SPQR!"
"85",85,530,"2022-07-04 17:42:18.290865+00","Boudica","moving","fixed",0.269305019,"ch2","847a4ab5-c31e-44fa-96e4-2502cb61e72c",0.273166023,"the Suffragettes","I placed Boudica here because ... actually the moving or fixed spectrum doesn't really make much sense. Who is moving, or are you wondering whether the idea is moving with time and ideas. Boudica (or even Boadicea...) was a strong female leader fighting for her people. The Suffragettes were strong women also."
"86",86,532,"2022-07-05 07:02:30.047057+00","the Roman Empire","heroic","deluded",0.697622585,"ch2","7aee6124-6ae3-444e-927a-1cf7d86d5fda",0.482169391,"the European Union","I placed the Roman Empire here because imposing values/life style on other countries - doomed to failure..."
"87",87,533,"2022-07-05 07:03:22.776217+00","the Fall of the Roman Empire","progressive","regressive",0.294205052,"ch2","7aee6124-6ae3-444e-927a-1cf7d86d5fda",0.297919762,"the End of the British Empire","I placed the Fall of the Roman Empire here because it allowed countries to self govern again..."
"88",88,534,"2022-07-05 07:22:57.280213+00","Julius Caesar","civilised","barbaric",0.495597484,"ch2","2b4ab0dc-0ee8-4daf-bd46-56fdfa64bd05",0.493081761,"Jean-Claude Juncker","I placed Julius Caesar here because ... whilst he lived with the trappings of what we consider to be civilised society his behaviours were often barbaric"
"89",89,535,"2022-07-05 07:23:25.281181+00","the Roman Empire","refined","crude",0.070440252,"ch2","2b4ab0dc-0ee8-4daf-bd46-56fdfa64bd05",0.732704403,"the USSR","I placed the Roman Empire here because ... they were very organised"
"90",90,536,"2022-07-05 07:23:53.863836+00","the Fall of the Roman Empire","progressive","regressive",0.420754717,"ch2","2b4ab0dc-0ee8-4daf-bd46-56fdfa64bd05",0.937735849,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ... it fell so something must have fallen apart"
"91",91,550,"2022-07-05 13:13:31.162232+00","the Roman Empire","connecting","dividing",0.468146718,"ch2","dff7e78a-6a6b-4701-b3f8-88c77a7c9f60",0.820433392,"the USSR","I placed the Roman Empire here because ... I liked it in school"
"92",92,551,"2022-07-05 13:15:30.066669+00","Julius Caesar","progressive","regressive",0.972972973,"","",0.999130072,"Vladimir Putin","I placed Julius Caesar here because he is regressive as well 
."
"93",93,552,"2022-07-05 13:32:31.689408+00","the Fall of the Roman Empire","benevolent","malevolent",0.591698842,"ch2","c90fd6a8-82ca-415f-b911-1994ccc973a8",1,"Brexit","I placed the Fall of the Roman Empire here because ... i love it to bits and pieces so much yeah
"
"94",94,553,"2022-07-05 13:33:10.744916+00","Hadrian's Wall","benevolent","malevolent",0,"ch2","c90fd6a8-82ca-415f-b911-1994ccc973a8",0,"the Great Wall of China","I placed Hadrian's Wall here because ... it’s my favourite of all the walls
"
"95",95,562,"2022-07-06 10:01:54.725292+00","Boudica","moving","fixed",0.766409266,"ch2","0507a234-dafc-451e-9682-0ce072693720",0.444342048,"Elizabeth I","I placed Boudica here because ...had a lot of influence on modern women"
"96",96,563,"2022-07-06 10:02:14.433652+00","the Fall of the Roman Empire","celebrated","condemned",0.370123215,"ch2","0507a234-dafc-451e-9682-0ce072693720",0.013041434,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ... empire is wrong"
"97",97,564,"2022-07-06 10:02:39.341576+00","Julius Caesar","benevolent","malevolent",0.86969112,"ch2","0507a234-dafc-451e-9682-0ce072693720",0.714285714,"Napoleon","I placed Julius Caesar here because ... didn’t accomplish any kind acts"
"98",98,568,"2022-07-06 10:46:02.875528+00","Julius Caesar","secure","insecure",0.949299934,"ch2","eed307d6-f614-4b1b-989f-a484a3fc7259",0.242277992,"Jean-Claude Juncker","I placed Julius Caesar here because he is an emperor

"
"99",99,574,"2022-07-06 11:45:24.635358+00","Julius Caesar","civilised","barbaric",0.116770976,"ch2","957980ad-1827-4440-acb0-c3776730a61b",0.732557833,"Donald Trump","I placed Julius Caesar here because ..he civilised Egypt 
"
"100",100,578,"2022-07-06 11:55:44.854683+00","Julius Caesar","celebrated","condemned",0,"ch2","9d8086b0-4a70-4657-bb77-af4e507d298a",1,"Vladimir Putin","I placed Julius Caesar here because ...he was cool
"
"101",101,587,"2022-07-06 12:31:43.775033+00","Julius Caesar","celebrated","condemned",0.295366795,"ch2","7231a2e0-73bb-49d0-babc-b72661f2b35d",0.945945946,"Donald Trump","I placed Julius Caesar here because ...historically I don’t know all the bad things he did I just know that he is famous"
"102",102,588,"2022-07-06 12:32:38.456887+00","Hadrian's Wall","dominant","submissive",0.082046332,"ch2","7231a2e0-73bb-49d0-babc-b72661f2b35d",0.083011583,"the Great Wall of China","I placed Hadrian's Wall here because ...amazing feats of engineering"
"103",103,590,"2022-07-06 12:40:35.921411+00","the Roman Empire","benevolent","malevolent",0.672779923,"ch2","fa251e58-0c37-4471-95f3-d7dda382d9c2",0.079150579,"the European Union","I placed the Roman Empire here because they conquered and besieged 
"
"104",104,598,"2022-07-06 13:18:25.038573+00","Hadrian's Wall","civilised","barbaric",0.19015444,"ch2","313b4bc3-cbe1-4407-9a26-8c0dc2a2d082",0.492703883,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...I know the place"
"105",105,599,"2022-07-06 13:18:44.932282+00","the Fall of the Roman Empire","inclusive","exclusive",0.632208276,"ch2","313b4bc3-cbe1-4407-9a26-8c0dc2a2d082",0.982938435,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...too far away"
"106",106,606,"2022-07-06 14:08:14.408737+00","Hadrian's Wall","inclusive","exclusive",0.711348839,"ch2","0e8b22ae-d907-47a9-a425-67dbc647c260",0.597490347,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...it’s a wall
"
"107",107,607,"2022-07-06 14:09:05.894991+00","Boudica","civilised","barbaric",0.648571353,"ch2","0e8b22ae-d907-47a9-a425-67dbc647c260",0.27506153,"Margaret Thatcher","I placed Boudica here because ...warrior"
"108",108,608,"2022-07-06 14:10:03.987378+00","the Fall of the Roman Empire","civilised","barbaric",0.50335063,"ch2","0e8b22ae-d907-47a9-a425-67dbc647c260",0.518740621,"Brexit","I placed the Fall of the Roman Empire here because ...I think that comparison is wrong anyway"
"109",109,622,"2022-07-07 11:34:35.674603+00","Julius Caesar","regenerating","destructive",0.502895753,"ch2","0221822d-16f7-4408-929d-fb14481b8cdd",1,"Vladimir Putin","I placed Julius Caesar here because ... I’m comparing him to Vladimir putin. I have not lived through the reign of Lucius Caesar. I can only learn from story someone else has written and interpreted"
